batter,game_pk,game_date,stand,batter_power,hit_hr,hr_count,venue,temp,condition,wind,power_score,park_factor,weather_adj,score,situational_boost,rank,date,resolved
502671,822708,2026-07-12,R,0.08108108108108109,0,0,Nationals Park,83.0,Partly Cloudy,"7 mph, In From RF",0.624,0.0,0.0,0.6237,-0.0005,45,2026-07-12,True
502671,822709,2026-07-10,R,0.08333333333333333,0,0,Nationals Park,79.0,Partly Cloudy,"5 mph, Out To CF",0.641,0.0,0.0,0.641,0.0,45,2026-07-10,True
502671,822711,2026-07-11,R,0.07894736842105263,1,1,Nationals Park,86.0,Partly Cloudy,"3 mph, In From LF",0.607,0.0,0.0,0.6073,0.0005,48,2026-07-11,True
502671,822801,2026-06-14,R,0.06779661016949153,0,0,Rogers Centre,68.0,Roof Closed,"0 mph, None",0.522,0.0,0.0,0.5215,-0.001,54,2026-06-14,True
502671,822802,2026-06-13,R,0.05454545454545454,1,1,Rogers Centre,71.0,Sunny,"11 mph, Out To CF",0.42,0.0,0.0,0.4196,-0.001,87,2026-06-13,True
502671,822803,2026-06-12,R,0.05555555555555555,0,0,Rogers Centre,77.0,Clear,"10 mph, L To R",0.427,0.0,0.0,0.4274,0.0009,76,2026-06-12,True
502671,822957,2026-07-08,R,0.09302325581395349,0,0,Tropicana Field,72.0,Dome,"0 mph, None",0.716,0.25,0.0,0.8945,0.2493,15,2026-07-08,True
502671,822958,2026-07-06,R,0.11363636363636363,0,0,Tropicana Field,72.0,Dome,"0 mph, None",0.874,0.25,0.0,1.0927,0.2502,2,2026-07-06,True
502671,823514,2026-08-08,R,0.02564102564102564,0,0,Yankee Stadium,89.0,Partly Cloudy,"9 mph, Out To RF",0.197,0.0,0.0,0.1972,0.001,130,2026-08-08,True
502671,823516,2026-08-05,R,0.02631578947368421,0,0,Yankee Stadium,77.0,Cloudy,"8 mph, R To L",0.202,0.0,0.0,0.2024,0.002,121,2026-08-05,True
502671,823517,2026-08-04,R,0.02702702702702703,0,0,Yankee Stadium,80.0,Partly Cloudy,"6 mph, R To L",0.208,0.0,0.0,0.2079,-0.0005,119,2026-08-04,True
502671,823526,2026-07-04,R,0.11764705882352941,0,0,Yankee Stadium,95.0,Sunny,"10 mph, Out To RF",0.905,0.0,0.0,0.905,0.0,18,2026-07-04,True
502671,823527,2026-07-03,R,0.11538461538461539,0,0,Yankee Stadium,92.0,Partly Cloudy,"11 mph, Out To CF",0.888,0.0,0.0,0.8876,-0.0005,12,2026-07-03,True
502671,823528,2026-06-30,R,0.10714285714285714,0,0,Yankee Stadium,86.0,Partly Cloudy,"9 mph, R To L",0.824,0.0,0.0,0.8242,0.0002,21,2026-06-30,True
502671,823529,2026-06-29,R,0.1206896551724138,0,0,Yankee Stadium,83.0,Clear,"12 mph, R To L",0.928,0.0,0.0,0.9284,0.0004,12,2026-06-29,True
502671,823531,2026-06-21,R,0.1016949152542373,0,0,Yankee Stadium,79.0,Partly Cloudy,"6 mph, In From LF",0.782,0.0,0.0,0.7823,0.0004,32,2026-06-21,True
502671,823532,2026-06-20,R,0.08771929824561403,1,1,Yankee Stadium,79.0,Partly Cloudy,"16 mph, Out To RF",0.675,0.0,0.0,0.6748,-0.0003,44,2026-06-20,True
502671,823533,2026-06-18,R,0.10526315789473684,0,0,Yankee Stadium,86.0,Partly Cloudy,"6 mph, Varies",0.81,0.0,0.0,0.8097,-0.0004,17,2026-06-18,True
502671,823534,2026-06-19,R,0.1,0,0,Yankee Stadium,77.0,Partly Cloudy,"15 mph, Out To RF",0.769,0.0,0.0,0.7692,0.0003,24,2026-06-19,True
502671,823535,2026-06-16,R,0.06779661016949153,1,1,Yankee Stadium,72.0,Clear,"8 mph, Out To LF",0.522,0.0,0.0,0.5215,-0.001,60,2026-06-16,True
502671,823536,2026-06-17,R,0.09090909090909091,1,1,Yankee Stadium,72.0,Partly Cloudy,"12 mph, R To L",0.699,0.0,0.0,0.6993,0.0004,33,2026-06-17,True
502671,823537,2026-06-07,R,0.06,0,0,Yankee Stadium,81.0,Partly Cloudy,"14 mph, Out To RF",0.462,0.0,0.0,0.4615,-0.0011,73,2026-06-07,True
502671,823538,2026-06-05,R,0.061224489795918366,0,0,Yankee Stadium,85.0,Partly Cloudy,"9 mph, R To L",0.471,0.0,0.0,0.471,0.0,61,2026-06-05,True
502671,823540,2026-06-03,R,0.06818181818181818,0,0,Yankee Stadium,76.0,Clear,"11 mph, Out To LF",0.524,0.0,0.0,0.5245,0.001,48,2026-06-03,True
502671,823541,2026-06-02,R,0.06818181818181818,1,1,Yankee Stadium,75.0,Partly Cloudy,"10 mph, L To R",0.524,0.0,0.0,0.5245,0.001,52,2026-06-02,True
502671,823542,2026-06-04,R,0.06521739130434782,0,0,Yankee Stadium,87.0,Sunny,"3 mph, Out To LF",0.502,0.0,0.0,0.5017,-0.0006,33,2026-06-04,True
502671,823544,2026-05-24,R,0.10526315789473684,0,0,Yankee Stadium,57.0,Rain,"8 mph, R To L",0.81,0.0,0.0,0.8097,-0.0004,7,2026-05-24,True
502671,823545,2026-05-21,R,0.10810810810810811,0,0,Yankee Stadium,64.0,Cloudy,"2 mph, Calm",0.832,0.0,0.0,0.8316,-0.0005,3,2026-05-21,True
502671,823546,2026-05-22,R,0.10256410256410256,0,0,Yankee Stadium,66.0,Partly Cloudy,"10 mph, Out To LF",0.789,0.0,0.0,0.789,0.0,9,2026-05-22,True
502671,823547,2026-05-20,R,0.12121212121212122,0,0,Yankee Stadium,72.0,Drizzle,"7 mph, Out To RF",0.932,0.0,0.0,0.9324,0.0004,5,2026-05-20,True
502671,823627,2026-05-16,R,0.1,0,0,Citi Field,75.0,Clear,"10 mph, Out To CF",0.769,0.0,0.0,0.7692,0.0003,14,2026-05-16,True
502671,824104,2026-05-27,R,0.07317073170731707,0,0,Kauffman Stadium,84.0,Partly Cloudy,"4 mph, R To L",0.563,0.0,0.0,0.5629,-0.0002,34,2026-05-27,True
502671,824106,2026-05-26,R,0.10810810810810811,0,0,Kauffman Stadium,82.0,Partly Cloudy,"4 mph, R To L",0.832,0.0,0.0,0.8316,-0.0005,10,2026-05-26,True
502671,824107,2026-05-25,R,0.1111111111111111,0,0,Kauffman Stadium,83.0,Sunny,"4 mph, R To L",0.855,0.0,0.0,0.8547,-0.0004,9,2026-05-25,True
502671,824259,2026-06-24,R,0.08620689655172414,1,2,Comerica Park,74.0,Partly Cloudy,"6 mph, In From LF",0.663,0.0,0.0,0.6631,0.0002,38,2026-06-24,True
502671,824261,2026-06-22,R,0.10714285714285714,0,0,Comerica Park,75.0,Partly Cloudy,"13 mph, In From CF",0.824,0.0,0.0,0.8242,0.0002,21,2026-06-22,True
502671,824262,2026-06-23,R,0.10344827586206896,0,0,Comerica Park,74.0,Partly Cloudy,"10 mph, L To R",0.796,0.0,0.0,0.7958,-0.0003,23,2026-06-23,True
502671,824427,2026-06-08,R,0.05660377358490566,1,1,Progressive Field,81.0,Partly Cloudy,"10 mph, Varies",0.435,0.0,0.0,0.4354,0.0009,47,2026-06-08,True
502671,824428,2026-06-10,R,0.05357142857142857,0,0,Progressive Field,81.0,Partly Cloudy,"9 mph, L To R",0.412,0.0,0.0,0.4121,0.0002,72,2026-06-10,True
502671,824429,2026-06-09,R,0.05660377358490566,0,0,Progressive Field,86.0,Cloudy,"10 mph, Out To CF",0.435,0.0,0.0,0.4354,0.0009,71,2026-06-09,True
502671,824567,2026-07-29,R,0.0625,0,0,Rate Field,75.0,Clear,"9 mph, Out To RF",0.481,0.0,0.0,0.4808,-0.0004,58,2026-07-29,True
502671,824568,2026-07-30,R,0.05714285714285714,0,0,Rate Field,84.0,Partly Cloudy,"4 mph, L To R",0.44,0.0,0.0,0.4396,-0.0009,44,2026-07-30,True
502671,824569,2026-07-28,R,0.06666666666666667,0,0,Rate Field,73.0,Partly Cloudy,"15 mph, Out To RF",0.513,0.0,0.0,0.5128,-0.0004,44,2026-07-28,True
502671,824648,2026-08-02,R,0.02702702702702703,0,0,Wrigley Field,71.0,Overcast,"13 mph, In From LF",0.208,0.0,0.0,0.2079,-0.0005,109,2026-08-02,True
502671,824649,2026-08-01,R,0.05405405405405406,0,0,Wrigley Field,71.0,Overcast,"21 mph, In From CF",0.416,0.0,0.0,0.4158,-0.0005,70,2026-08-01,True
502671,824651,2026-07-31,R,0.05263157894736842,0,0,Wrigley Field,77.0,Cloudy,"11 mph, R To L",0.405,0.0,0.0,0.4049,-0.0002,71,2026-07-31,True
502671,824743,2026-06-26,R,0.1206896551724138,0,0,Fenway Park,78.0,Partly Cloudy,"5 mph, Out To LF",0.928,0.0,0.0,0.9284,0.0004,13,2026-06-26,True
502671,824744,2026-06-28,R,0.11666666666666667,0,0,Fenway Park,72.0,Clear,"5 mph, In From RF",0.897,0.0,0.0,0.8974,0.0004,13,2026-06-28,True
502671,824745,2026-06-27,R,0.12280701754385964,0,0,Fenway Park,75.0,Sunny,"9 mph, In From RF",0.945,0.0,0.0,0.9447,-0.0003,13,2026-06-27,True
502671,824747,2026-06-25,R,0.1206896551724138,0,0,Fenway Park,85.0,Partly Cloudy,"3 mph, Out To LF",0.928,0.0,0.0,0.9284,0.0004,7,2026-06-25,True
502671,825000,2026-05-30,R,0.09090909090909091,0,0,Sutter Health Park,80.0,Clear,"6 mph, Out To RF",0.699,0.0,0.0,0.6993,0.0004,25,2026-05-30,True
502671,825001,2026-05-31,R,0.07142857142857142,0,0,Sutter Health Park,83.0,Sunny,"5 mph, L To R",0.549,0.0,0.0,0.5495,0.0009,41,2026-05-31,True
