factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant
park,Citizens Bank Park,L,0.12702257208290946,0.020456075549670105,0.23766681231640074,yes
park,Yankee Stadium,L,0.11934754058951658,0.005474962037972153,0.238005501727248,yes
park,Citi Field,L,0.11624258163610657,0.010274079594048802,0.22638421161073774,yes
park,Coors Field,L,0.10731767385433777,-0.0006073082004204311,0.2196980138671274,no (CI overlaps baseline)
park,PNC Park,L,0.09475425528762349,-0.0034099099428049895,0.19673544976386337,no (CI overlaps baseline)
park,Progressive Field,L,0.0784802681562593,-0.022052657549545107,0.18322137689396034,no (CI overlaps baseline)
park,Wrigley Field,L,0.07744374432746293,-0.038055082650424565,0.198549057316862,no (CI overlaps baseline)
park,Sutter Health Park,L,0.06801579017101256,-0.041414241390581474,0.18260746778619952,no (CI overlaps baseline)
park,American Family Field,L,0.05591671391448427,-0.06011530096043616,0.17797733403422367,no (CI overlaps baseline)
park,Nationals Park,L,0.05500028195945039,-0.04505894325626392,0.15952244663589776,no (CI overlaps baseline)
park,Great American Ball Park,L,0.05458753287668583,-0.05948048702782294,0.174499032415802,no (CI overlaps baseline)
park,Daikin Park,L,0.0350087508290422,-0.11437866575917455,0.1951730080752967,no (CI overlaps baseline)
park,Tropicana Field,L,0.033788164465194725,-0.10152657482470084,0.1779157148303332,no (CI overlaps baseline)
park,Busch Stadium,L,0.03363448622343279,-0.06999052694390973,0.1423524034383048,no (CI overlaps baseline)
park,Fenway Park,L,0.004821437574179521,-0.10522110191418377,0.12109986476730072,no (CI overlaps baseline)
park,loanDepot park,L,0.002348882560251342,-0.13054537196218519,0.14450861649212055,no (CI overlaps baseline)
park,Rogers Centre,L,0.002089657010293511,-0.11720724671103167,0.128805333952152,no (CI overlaps baseline)
park,Truist Park,L,-0.027026658580428742,-0.12613901515627146,0.07755886265679912,no (CI overlaps baseline)
park,T-Mobile Park,L,-0.03103447111558144,-0.12701867698295155,0.07012763600455929,no (CI overlaps baseline)
park,Comerica Park,L,-0.0319078671094446,-0.136136165551082,0.07846839980074871,no (CI overlaps baseline)
park,Kauffman Stadium,L,-0.034259844737080214,-0.1438822152201933,0.08222617280060152,no (CI overlaps baseline)
park,Oracle Park,L,-0.03759625888600038,-0.1508354022273387,0.08304630343779107,no (CI overlaps baseline)
park,Angel Stadium,L,-0.05391568113173906,-0.16924890267406956,0.06943931237125867,no (CI overlaps baseline)
park,Chase Field,L,-0.07116187617766534,-0.1908761208754689,0.0576112372075408,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,L,-0.10044590631595096,-0.20642243019356765,0.013106940530741351,no (CI overlaps baseline)
park,Target Field,L,-0.1054787850781731,-0.20514930987313829,0.0009488567373139301,no (CI overlaps baseline)
park,Globe Life Field,L,-0.1057387828327484,-0.23327035486469927,0.033076664345811135,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,L,-0.1165320498268394,-0.21460272313955409,-0.011745369229819946,yes
park,Rate Field,L,-0.1705967477116308,-0.26646594526127343,-0.0674135991872098,yes
park,Petco Park,L,-0.18012540401495936,-0.2850615425695323,-0.06615432885054306,yes
park,Fenway Park,R,0.12750685224867087,0.01813115418784972,0.24192480980442932,yes
park,Sutter Health Park,R,0.1158049514034103,-0.001857429496069929,0.23950679430260857,no (CI overlaps baseline)
park,Tropicana Field,R,0.09846576880404334,-0.05084155568840387,0.2580947587001041,no (CI overlaps baseline)
park,Coors Field,R,0.09088434043701699,-0.035042834061581596,0.22421800748688892,no (CI overlaps baseline)
park,American Family Field,R,0.07907570833782107,-0.04672380761996464,0.21249171888159668,no (CI overlaps baseline)
park,Truist Park,R,0.04753523654573866,-0.06739451062102109,0.16930364684508592,no (CI overlaps baseline)
park,Daikin Park,R,0.042912051343187985,-0.103789046246063,0.20107255254510714,no (CI overlaps baseline)
park,Citizens Bank Park,R,0.03489410224631673,-0.0830882624473982,0.16032060292266181,no (CI overlaps baseline)
park,Progressive Field,R,0.023898093424134625,-0.1088414280110146,0.16639329415327286,no (CI overlaps baseline)
park,Yankee Stadium,R,0.020442362471313036,-0.11406094940687894,0.16505657457227074,no (CI overlaps baseline)
park,Comerica Park,R,0.016649441318373315,-0.09613149623223016,0.13651791151126358,no (CI overlaps baseline)
park,Rate Field,R,0.013665847564641398,-0.10233188742238386,0.13722843096298742,no (CI overlaps baseline)
park,Rogers Centre,R,0.012987053165264939,-0.10477149606780112,0.13856225897821872,no (CI overlaps baseline)
park,Globe Life Field,R,-0.00191148705260491,-0.14551546811670169,0.1539209141103255,no (CI overlaps baseline)
park,Chase Field,R,-0.004551162493148908,-0.13492583007642145,0.13588736040798688,no (CI overlaps baseline)
park,Target Field,R,-0.010584729801136561,-0.12003132941602435,0.1059673384863149,no (CI overlaps baseline)
park,Wrigley Field,R,-0.012878831858938011,-0.11237702463968735,0.09248865510818849,no (CI overlaps baseline)
park,PNC Park,R,-0.02039141340084316,-0.12828885667040069,0.0945654758807688,no (CI overlaps baseline)
park,Petco Park,R,-0.03144873736177434,-0.14016625431569107,0.0846264694153982,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,R,-0.03366244586781153,-0.14528270911121532,0.08576778559302545,no (CI overlaps baseline)
park,Nationals Park,R,-0.033681287745748856,-0.14358923090111275,0.08379105446108293,no (CI overlaps baseline)
park,loanDepot park,R,-0.0342845184605991,-0.18178252257822403,0.12718541712176812,no (CI overlaps baseline)
park,Busch Stadium,R,-0.03610860920708581,-0.14142041945960182,0.07616723971776729,no (CI overlaps baseline)
park,T-Mobile Park,R,-0.04094061093953261,-0.15664707060475813,0.08332333009960835,no (CI overlaps baseline)
park,Kauffman Stadium,R,-0.04914738921990702,-0.16140176253734617,0.0712978402488833,no (CI overlaps baseline)
park,Great American Ball Park,R,-0.053628150661492735,-0.15461102264447102,0.054002994096070234,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,R,-0.06814576760529234,-0.1779039245243208,0.04977954797976403,no (CI overlaps baseline)
park,Citi Field,R,-0.07717404458396515,-0.1865219215353362,0.04044711521542865,no (CI overlaps baseline)
park,Angel Stadium,R,-0.08077457732646398,-0.1748386448122744,0.019397146126067355,no (CI overlaps baseline)
park,Oracle Park,R,-0.13540804572358234,-0.25428934206883347,-0.005275975866063876,yes
