key,stand,significant,factor,date
Citizens Bank Park,L,yes,0.141212519948698,2026-08-19
Yankee Stadium,L,yes,0.1344652134033976,2026-08-19
Coors Field,L,yes,0.1158955439715989,2026-08-19
Citi Field,L,yes,0.1106340062833111,2026-08-19
Wrigley Field,L,no (CI overlaps baseline),0.1012292723078207,2026-08-19
PNC Park,L,no (CI overlaps baseline),0.0928918340448239,2026-08-19
Progressive Field,L,no (CI overlaps baseline),0.0864135194805062,2026-08-19
Sutter Health Park,L,no (CI overlaps baseline),0.0737941124724472,2026-08-19
American Family Field,L,no (CI overlaps baseline),0.0589919656861506,2026-08-19
Great American Ball Park,L,no (CI overlaps baseline),0.0568839605206048,2026-08-19
Nationals Park,L,no (CI overlaps baseline),0.0435878939272087,2026-08-19
Busch Stadium,L,no (CI overlaps baseline),0.0413781593934472,2026-08-19
Tropicana Field,L,no (CI overlaps baseline),0.0333969470159187,2026-08-19
Daikin Park,L,no (CI overlaps baseline),0.026392104710385,2026-08-19
Rogers Centre,L,no (CI overlaps baseline),-0.0031576190858995,2026-08-19
loanDepot park,L,no (CI overlaps baseline),-0.0084799617538314,2026-08-19
Fenway Park,L,no (CI overlaps baseline),-0.0177528923648689,2026-08-19
Truist Park,L,no (CI overlaps baseline),-0.0307941992607916,2026-08-19
Comerica Park,L,no (CI overlaps baseline),-0.0351947244491732,2026-08-19
Oracle Park,L,no (CI overlaps baseline),-0.0352990604873604,2026-08-19
T-Mobile Park,L,no (CI overlaps baseline),-0.0367647625119785,2026-08-19
Kauffman Stadium,L,no (CI overlaps baseline),-0.0396419269191956,2026-08-19
Angel Stadium,L,no (CI overlaps baseline),-0.0556499566369722,2026-08-19
Chase Field,L,no (CI overlaps baseline),-0.0834014919030113,2026-08-19
Globe Life Field,L,no (CI overlaps baseline),-0.1004008412603867,2026-08-19
Target Field,L,no (CI overlaps baseline),-0.1015098826141154,2026-08-19
UNIQLO Field at Dodger Stadium,L,yes,-0.1255764156398977,2026-08-19
Oriole Park at Camden Yards,L,yes,-0.1268507309053617,2026-08-19
Rate Field,L,yes,-0.1453395400849635,2026-08-19
Petco Park,L,yes,-0.1713530472885084,2026-08-19
Fenway Park,R,yes,0.1391703208947872,2026-08-19
Tropicana Field,R,no (CI overlaps baseline),0.1165497527206504,2026-08-19
Sutter Health Park,R,no (CI overlaps baseline),0.1134709314143536,2026-08-19
Coors Field,R,no (CI overlaps baseline),0.0793169367278867,2026-08-19
American Family Field,R,no (CI overlaps baseline),0.0763038785245846,2026-08-19
Daikin Park,R,no (CI overlaps baseline),0.0578889175280958,2026-08-19
Truist Park,R,no (CI overlaps baseline),0.0449417498970809,2026-08-19
Yankee Stadium,R,no (CI overlaps baseline),0.0268011865181512,2026-08-19
Globe Life Field,R,no (CI overlaps baseline),0.0228443850904331,2026-08-19
