factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=60-70 wind=Cross speed=10-15mph,L,0.09173654470391668,-0.04205065170339328,0.22552374111122675,no (CI overlaps baseline),160
weather,temp=60-70 wind=Cross speed=0-5mph,L,0.09109396320763241,-0.04701130082144145,0.22919922723670605,no (CI overlaps baseline),149
weather,temp=70-80 wind=Cross speed=10-15mph,L,0.08842028897378906,-0.04494439107088122,0.22178496901845968,no (CI overlaps baseline),561
weather,temp=70-80 wind=Cross speed=0-5mph,L,0.08777863177041323,-0.04938059740019507,0.2249378609410213,no (CI overlaps baseline),344
weather,temp=60-70 wind=Cross speed=5-10mph,L,0.08775419373377424,-0.04403306677784624,0.21954145424539462,no (CI overlaps baseline),694
weather,temp=70-80 wind=Cross speed=5-10mph,L,0.08444368566040361,-0.04687604044683191,0.21576341176763902,no (CI overlaps baseline),1195
weather,temp=60-70 wind=Out speed=10-15mph,L,0.07508738553982464,-0.057569122660642735,0.207743893740292,no (CI overlaps baseline),503
weather,temp=60-70 wind=Out speed=0-5mph,L,0.07444950730823785,-0.064580740482864,0.2134797550993397,no (CI overlaps baseline),88
weather,temp=70-80 wind=Out speed=10-15mph,L,0.07179546719117291,-0.06047312309478248,0.2040640574771284,no (CI overlaps baseline),733
weather,temp=70-80 wind=Out speed=0-5mph,L,0.07115853749830103,-0.06696997290591566,0.2092870479025175,no (CI overlaps baseline),487
weather,temp=60-70 wind=Out speed=5-10mph,L,0.07113427963137386,-0.06043556169909381,0.20270412096184143,no (CI overlaps baseline),653
weather,temp=70-80 wind=Out speed=5-10mph,L,0.0678482587744702,-0.06328985226781036,0.1989863698167511,no (CI overlaps baseline),1448
weather,temp=80-90 wind=Cross speed=10-15mph,L,0.039909613300213254,-0.0940339051507213,0.17385313175114803,no (CI overlaps baseline),271
weather,temp=80-90 wind=Cross speed=0-5mph,L,0.039282189054044014,-0.09701693294399494,0.1755813110520832,no (CI overlaps baseline),464
weather,temp=80-90 wind=Cross speed=5-10mph,L,0.03602149507843655,-0.09418069914208582,0.16622368929895903,no (CI overlaps baseline),1383
weather,temp=90+ wind=Cross speed=10-15mph,L,0.035147005264617226,-0.11652572249221149,0.18681973302144628,no (CI overlaps baseline),103
weather,temp=90+ wind=Cross speed=0-5mph,L,0.03452105025240915,-0.1196521348784726,0.18869423538329078,no (CI overlaps baseline),107
weather,temp=60-70 wind=Varies speed=10-15mph,L,0.03367097461958912,-0.14064473368871488,0.2079866829278929,no (CI overlaps baseline),150
weather,temp=<60 wind=Cross speed=10-15mph,L,0.03242512394187469,-0.1146786626058377,0.1795289104895872,no (CI overlaps baseline),106
weather,temp=<60 wind=Cross speed=0-5mph,L,0.031800014386043074,-0.12161035079788074,0.1852103795699671,no (CI overlaps baseline),55
weather,temp=90+ wind=Cross speed=5-10mph,L,0.03126801903348575,-0.11849384558159126,0.18102988364856287,no (CI overlaps baseline),269
weather,temp=70-80 wind=Varies speed=10-15mph,L,0.03044310985055132,-0.14565536126279843,0.20654158096390107,no (CI overlaps baseline),39
weather,temp=70-80 wind=Varies speed=0-5mph,L,0.02981861857976753,-0.150464910646942,0.21010214780647685,no (CI overlaps baseline),43
weather,temp=60-70 wind=Varies speed=5-10mph,L,0.02979483472734401,-0.14540964177869053,0.20499931123337833,no (CI overlaps baseline),68
weather,temp=<60 wind=Cross speed=5-10mph,L,0.028551392461539704,-0.11888172528240093,0.17598451020548045,no (CI overlaps baseline),109
weather,temp=70-80 wind=Varies speed=5-10mph,L,0.026573221111975576,-0.15036188814322327,0.20350833036717453,no (CI overlaps baseline),61
weather,temp=60-70 wind=Calm speed=10-15mph,L,0.026435482004606436,-0.11562307389159898,0.1684940379008122,no (CI overlaps baseline),12
weather,temp=60-70 wind=Calm speed=0-5mph,L,0.02581224770807311,-0.10241466172118896,0.1540391571373354,no (CI overlaps baseline),536
weather,temp=80-90 wind=Out speed=10-15mph,L,0.023659121421088614,-0.10951643203577499,0.1568346748779521,no (CI overlaps baseline),513
weather,temp=70-80 wind=Calm speed=10-15mph,L,0.02321932161101703,-0.1240912188810791,0.17052986210311305,no (CI overlaps baseline),21
weather,temp=80-90 wind=Out speed=0-5mph,L,0.0230367632557813,-0.11447412973024629,0.1605476562418089,no (CI overlaps baseline),353
weather,temp=70-80 wind=Calm speed=0-5mph,L,0.022597102633474808,-0.11096819680855607,0.1561624020755057,no (CI overlaps baseline),3893
weather,temp=60-70 wind=Calm speed=5-10mph,L,0.022573405372093847,-0.1169642778304093,0.16211108857459688,no (CI overlaps baseline),20
weather,temp=80-90 wind=Out speed=5-10mph,L,0.019802489801165946,-0.1105346295391173,0.15013960914144908,no (CI overlaps baseline),1504
weather,temp=70-80 wind=Calm speed=5-10mph,L,0.01936355500906406,-0.1254671698354084,0.16419427985353674,no (CI overlaps baseline),14
weather,temp=90+ wind=Out speed=10-15mph,L,0.018935112079549343,-0.12997494809186083,0.16784517225095952,no (CI overlaps baseline),238
weather,temp=90+ wind=Out speed=0-5mph,L,0.01831425470440995,-0.13488673010744512,0.17151523951626513,no (CI overlaps baseline),108
weather,temp=<60 wind=Out speed=10-15mph,L,0.0162354386963528,-0.1295324029730952,0.1620032803658007,no (CI overlaps baseline),351
weather,temp=<60 wind=Out speed=0-5mph,L,0.015615444672472778,-0.13818639397761834,0.169417283322564,no (CI overlaps baseline),36
weather,temp=90+ wind=Out speed=5-10mph,L,0.015087807342741844,-0.13266811169245663,0.16284372637794053,no (CI overlaps baseline),338
weather,temp=<60 wind=Out speed=5-10mph,L,0.012393499224557791,-0.13446054075008795,0.15924753919920343,no (CI overlaps baseline),348
weather,temp=60-70 wind=Cross speed=15+mph,L,0.007038227888901183,-0.1426463748339779,0.15672283061178027,no (CI overlaps baseline),31
weather,temp=70-80 wind=Cross speed=15+mph,L,0.0038541997809005135,-0.14644736065294284,0.1541557602147443,no (CI overlaps baseline),62
weather,temp=60-70 wind=In speed=10-15mph,L,-0.003716754981248127,-0.1370615358918812,0.12962802592938494,no (CI overlaps baseline),177
weather,temp=60-70 wind=In speed=0-5mph,L,-0.004330240205875691,-0.14085657584984834,0.13219609543809696,no (CI overlaps baseline),193
weather,temp=70-80 wind=In speed=10-15mph,L,-0.006882493303808523,-0.14024132725553518,0.12647634064791813,no (CI overlaps baseline),313
weather,temp=70-80 wind=In speed=0-5mph,L,-0.007494925053764923,-0.14354153966643035,0.1285516895589005,no (CI overlaps baseline),349
weather,temp=60-70 wind=In speed=5-10mph,L,-0.007518249361085916,-0.13866998244108053,0.12363348371890859,no (CI overlaps baseline),329
weather,temp=60-70 wind=Out speed=15+mph,L,-0.008939127966302585,-0.15544878813504304,0.13757053220243787,no (CI overlaps baseline),174
weather,temp=70-80 wind=In speed=5-10mph,L,-0.01067744206406307,-0.14180882577985865,0.12045394165173273,no (CI overlaps baseline),1139
weather,temp=70-80 wind=Out speed=15+mph,L,-0.012095863281631147,-0.15925638283781685,0.13506465627455455,no (CI overlaps baseline),201
weather,temp=80-90 wind=Varies speed=10-15mph,L,-0.016711968836920832,-0.19010224830034217,0.15667831062650062,no (CI overlaps baseline),47
weather,temp=80-90 wind=Varies speed=0-5mph,L,-0.017321093377209995,-0.1938444097076436,0.1592022229532235,no (CI overlaps baseline),14
weather,temp=80-90 wind=Varies speed=5-10mph,L,-0.020486369704349916,-0.1934050123832568,0.15243227297455708,no (CI overlaps baseline),65
weather,temp=90+ wind=Varies speed=10-15mph,L,-0.021335179509277546,-0.20611921212077622,0.16344885310222113,no (CI overlaps baseline),14
weather,temp=90+ wind=Varies speed=0-5mph,L,-0.02194272958486576,-0.20998099163426565,0.1660955324645339,no (CI overlaps baseline),38
weather,temp=<60 wind=Varies speed=10-15mph,L,-0.023976887756278598,-0.20665684219613234,0.15870306668357514,no (CI overlaps baseline),82
weather,temp=80-90 wind=Calm speed=0-5mph,L,-0.024363727679775904,-0.1602852924889746,0.11155783712942302,no (CI overlaps baseline),112
weather,temp=<60 wind=Varies speed=0-5mph,L,-0.02458353273850966,-0.2133773847383179,0.1642103192612987,no (CI overlaps baseline),14
weather,temp=80-90 wind=Calm speed=5-10mph,L,-0.027516472358391386,-0.17358304633483157,0.1185501016180488,no (CI overlaps baseline),26
weather,temp=<60 wind=Calm speed=0-5mph,L,-0.03159731707120106,-0.17730013147471302,0.11410549733231079,no (CI overlaps baseline),64
weather,temp=80-90 wind=Cross speed=15+mph,L,-0.042632198474993,-0.1915255932321578,0.10626119628217179,no (CI overlaps baseline),65
weather,temp=90+ wind=Cross speed=15+mph,L,-0.047187001621171065,-0.21137396981544354,0.11699996657310163,no (CI overlaps baseline),12
weather,temp=60-70 wind=Varies speed=15+mph,L,-0.04859830071522697,-0.2310057873186694,0.13380918588821555,no (CI overlaps baseline),54
weather,temp=<60 wind=Cross speed=15+mph,L,-0.04978939347006173,-0.2110921488704497,0.11151336193032657,no (CI overlaps baseline),29
weather,temp=80-90 wind=In speed=10-15mph,L,-0.05309051511748253,-0.1883418464815828,0.08216081624661786,no (CI overlaps baseline),194
weather,temp=80-90 wind=In speed=0-5mph,L,-0.053686923081150306,-0.1903147290395627,0.08294088287726198,no (CI overlaps baseline),311
