key,stand,significant,factor,date
temp=60-70 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0912598860883191,2026-08-19
temp=70-80 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0900684861787639,2026-08-19
temp=60-70 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0896984136213585,2026-08-19
temp=70-80 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0885078206336933,2026-08-19
temp=60-70 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0882183545911177,2026-08-19
temp=70-80 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0870285288164458,2026-08-19
temp=60-70 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0705925252008896,2026-08-19
temp=70-80 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0694120128550923,2026-08-19
temp=60-70 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0690453274091695,2026-08-19
temp=70-80 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0678656481716146,2026-08-19
temp=60-70 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0675788394311025,2026-08-19
temp=70-80 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0663999521630169,2026-08-19
temp=80-90 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0388852790616311,2026-08-19
temp=80-90 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0373611236293136,2026-08-19
temp=80-90 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0359165374398542,2026-08-19
temp=90+ wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0354538695342441,2026-08-19
temp=90+ wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0339322907567094,2026-08-19
temp=60-70 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.0336924156693758,2026-08-19
temp=60-70 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.033437492596106,2026-08-19
temp=70-80 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.0325324576618977,2026-08-19
temp=90+ wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0324901533452086,2026-08-19
temp=70-80 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.032277681561684,2026-08-19
temp=60-70 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0321721658675508,2026-08-19
temp=60-70 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0319174354815412,2026-08-19
temp=<60 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0314780018248135,2026-08-19
temp=70-80 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0310130853534857,2026-08-19
temp=70-80 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0307585022362089,2026-08-19
temp=60-70 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0307312914510973,2026-08-19
temp=<60 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0299594288058322,2026-08-19
temp=70-80 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0295730448556599,2026-08-19
temp=70-80 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),0.0293186451371478,2026-08-19
temp=<60 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0285201478997896,2026-08-19
temp=80-90 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0187207375054834,2026-08-19
temp=80-90 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0172119559119683,2026-08-19
temp=80-90 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0157819796494131,2026-08-19
temp=90+ wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0153239989291409,2026-08-19
temp=90+ wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0138178621611886,2026-08-19
temp=90+ wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0123903990880935,2026-08-19
temp=<60 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0113885690306225,2026-08-19
temp=<60 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0098855163960609,2026-08-19
temp=<60 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0084609838780231,2026-08-19
temp=60-70 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0056110691074549,2026-08-19
temp=70-80 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0044677115390696,2026-08-19
temp=60-70 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.002415649965091,2026-08-19
temp=70-80 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0035541102363053,2026-08-19
temp=60-70 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0039077158739664,2026-08-19
temp=70-80 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0050452583371456,2026-08-19
temp=60-70 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.005321809421118,2026-08-19
temp=70-80 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0064584798797624,2026-08-19
temp=60-70 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0142083138391458,2026-08-19
temp=70-80 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0153394563132563,2026-08-19
temp=80-90 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0174819854604919,2026-08-19
temp=80-90 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),-0.0187137879334774,2026-08-19
temp=80-90 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),-0.0189617606544461,2026-08-19
temp=80-90 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.0201163994336479,2026-08-19
temp=80-90 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0203641774146369,2026-08-19
temp=90+ wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0208133175909984,2026-08-19
temp=90+ wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.023690127933857,2026-08-19
temp=<60 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0246725003493036,2026-08-19
temp=<60 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.0272962651725274,2026-08-19
temp=<60 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0275430391731279,2026-08-19
temp=80-90 wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.0445545632542432,2026-08-19
temp=90+ wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.0478343313726643,2026-08-19
temp=60-70 wind=Varies speed=15+mph,L,no (CI overlaps baseline),-0.0497612042550994,2026-08-19
temp=<60 wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.051633435284497,2026-08-19
temp=80-90 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0523573722325362,2026-08-19
temp=80-90 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0538074975758593,2026-08-19
temp=80-90 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0551817501467341,2026-08-19
temp=90+ wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.0556218571774186,2026-08-19
temp=90+ wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0570691214104894,2026-08-19
temp=90+ wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0584406565561662,2026-08-19
temp=<60 wind=In speed=10-15mph,L,no (CI overlaps baseline),-0.05940315905774,2026-08-19
temp=<60 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0608470908704206,2026-08-19
temp=<60 wind=In speed=0-5mph,L,no (CI overlaps baseline),-0.0622154610181583,2026-08-19
temp=80-90 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0638158324089086,2026-08-19
temp=90+ wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.0670575320566329,2026-08-19
temp=<60 wind=Out speed=15+mph,L,no (CI overlaps baseline),-0.070812297242841,2026-08-19
temp=60-70 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0839739994918312,2026-08-19
temp=70-80 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0850588590204576,2026-08-19
temp=<60 wind=Varies speed=15+mph,L,no (CI overlaps baseline),-0.1051660916604492,2026-08-19
temp=80-90 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1314769989303137,2026-08-19
temp=<60 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.1381643625204499,2026-08-19
temp=80-90 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0901410114781036,2026-08-19
temp=80-90 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0771060221132797,2026-08-19
temp=60-70 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0754000984899174,2026-08-19
temp=60-70 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0624477457508867,2026-08-19
temp=80-90 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0619965210329356,2026-08-19
temp=60-70 wind=Varies speed=15+mph,R,no (CI overlaps baseline),0.0589074599855186,2026-08-19
temp=70-80 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0574468222711579,2026-08-19
temp=<60 wind=In speed=15+mph,R,no (CI overlaps baseline),0.0553199985448558,2026-08-19
temp=60-70 wind=Out speed=15+mph,R,no (CI overlaps baseline),0.0474368811777772,2026-08-19
temp=80-90 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0455356589367106,2026-08-19
temp=70-80 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.044598593544191,2026-08-19
temp=<60 wind=Cross speed=15+mph,R,no (CI overlaps baseline),0.0424843578983773,2026-08-19
temp=<60 wind=Varies speed=15+mph,R,no (CI overlaps baseline),0.0389765079250246,2026-08-19
temp=80-90 wind=Cross speed=10-15mph,R,no (CI overlaps baseline),0.032758619666521,2026-08-19
temp=60-70 wind=In speed=10-15mph,R,no (CI overlaps baseline),0.0310869573981273,2026-08-19
