venue,stand,batted_balls,hr_rate,park_factor_raw,shrunk_rate,park_factor,confidence
American Family Field,L,1530,0.03594771241830065,-0.19175382540667696,0.03734582390095803,-0.16031877206132017,OK
American Family Field,R,1543,0.04601425793907971,0.03458177041268695,0.04576389459509127,0.028952616248929086,OK
Angel Stadium,L,1134,0.03527336860670194,-0.20691573055777823,0.037198645563984105,-0.1636279208176572,OK
Angel Stadium,R,1925,0.0374025974025974,-0.15904228011144772,0.038356340556743015,-0.13759837717507273,OK
Busch Stadium,L,1666,0.025210084033613446,-0.4331780074280591,0.028149978503943646,-0.3670775993769819,OK
Busch Stadium,R,1763,0.03176403857061826,-0.28581929315571686,0.03361263099309414,-0.24425565382139047,OK
Chase Field,L,1564,0.034526854219948847,-0.22370031452103756,0.0361281425637088,-0.1876970450165788,OK
Chase Field,R,1703,0.040516735173223725,-0.08902419631861291,0.04110976422304204,-0.07569056731432733,OK
Citi Field,L,1710,0.04269005847953217,-0.040159327588216276,0.04295664564117075,-0.03416539809743768,OK
Citi Field,R,1614,0.04275092936802974,-0.03879071024200609,0.04302134678095779,-0.03271066161473224,OK
Citizens Bank Park,L,1589,0.056639395846444306,0.2734767233995148,0.054707706584834946,0.23004473979980355,OK
Citizens Bank Park,R,1567,0.04467134652201659,0.004387831977082923,0.04463998807646128,0.003682770598869345,OK
Comerica Park,L,1538,0.031209362808842653,-0.29829058916971685,0.03337478658256431,-0.24960333304843552,OK
Comerica Park,R,1667,0.04979004199160168,0.11947626887283747,0.048979592139681345,0.10125416380834773,OK
Coors Field,L,1997,0.05057586379569354,0.13714463841130975,0.049779215384742365,0.11923284410421675,OK
Coors Field,R,1638,0.0463980463980464,0.04321084672784559,0.04610054578883035,0.03652186116625966,OK
Daikin Park,L,1226,0.05628058727569331,0.26540929336819086,0.053959932987387424,0.21323184382005378,OK
Daikin Park,R,1680,0.05476190476190476,0.23126332830904928,0.05320346350442081,0.19622343008040555,OK
Fenway Park,L,1439,0.034051424600416956,-0.2343898451037787,0.03584983193717838,-0.1939545641773074,OK
Fenway Park,R,1911,0.03663003663003663,-0.176412489425385,0.037694643934307194,-0.1524759236960248,OK
Globe Life Field,L,1635,0.04220183486238532,-0.05113651763339311,0.04255444844380011,-0.04320837536464994,OK
Globe Life Field,R,1674,0.04778972520908005,0.07450126827655867,0.047286148803826346,0.06317888707951314,OK
Great American Ball Park,L,1293,0.05723124516627997,0.2867838274267882,0.05482916367781118,0.2327755736740975,OK
Great American Ball Park,R,1880,0.05,0.12419695193434954,0.04923984299942808,0.10710562827365933,OK
Kauffman Stadium,L,1560,0.03717948717948718,-0.1640586767667659,0.038356375128361944,-0.1375975998689003,OK
Kauffman Stadium,R,1665,0.043243243243243246,-0.027721555083805915,0.04343147976526881,-0.023489256597728603,OK
Nationals Park,L,1974,0.060790273556231005,0.3668048047834036,0.05863802011378769,0.3184136695877038,OK
Nationals Park,R,1575,0.050793650793650794,0.14204134799679946,0.04978285746066838,0.1193147323173116,OK
Oracle Park,L,1496,0.02807486631016043,-0.3687664173630658,0.03081450876322562,-0.30716846346054916,OK
Oracle Park,R,1556,0.04177377892030849,-0.060760901340196405,0.04221059145406962,-0.050939634959776714,OK
Oriole Park at Camden Yards,L,1617,0.04638218923933209,0.04285431533798634,0.046083911183491505,0.036147849713888514,OK
Oriole Park at Camden Yards,R,1741,0.04767375071797817,0.07189370488858127,0.047203751954313186,0.06132628133807949,OK
PNC Park,L,1796,0.05178173719376392,0.16425742238189867,0.05073609624940516,0.140747295132581,OK
PNC Park,R,1651,0.029678982434887948,-0.3326995682037175,0.03195430945092425,-0.28154125428207966,OK
Petco Park,L,1263,0.0332541567695962,-0.25231556640945885,0.03540809836132643,-0.20388647496810386,OK
Petco Park,R,1760,0.044886363636363634,0.009222263668336339,0.044826629970268546,0.007879215561297004,OK
