key,stand,significant,factor,date
Wrigley Field,L,no (CI overlaps baseline),0.3799504306861938,2026-08-15
Yankee Stadium,L,no (CI overlaps baseline),0.3149008925000118,2026-08-15
T-Mobile Park,L,no (CI overlaps baseline),0.2591719130264764,2026-08-15
Nationals Park,L,no (CI overlaps baseline),0.2187683100097566,2026-08-15
Daikin Park,L,no (CI overlaps baseline),0.2149436747351072,2026-08-15
Citizens Bank Park,L,no (CI overlaps baseline),0.2099295601872703,2026-08-15
Sutter Health Park,L,no (CI overlaps baseline),0.1928190004980869,2026-08-15
PNC Park,L,no (CI overlaps baseline),0.1561133194981108,2026-08-15
Rogers Centre,L,no (CI overlaps baseline),0.1376964913979197,2026-08-15
Tropicana Field,L,no (CI overlaps baseline),0.1352791826573467,2026-08-15
Great American Ball Park,L,no (CI overlaps baseline),0.1290902074234896,2026-08-15
Truist Park,L,no (CI overlaps baseline),0.1100210336098139,2026-08-15
Globe Life Field,L,no (CI overlaps baseline),0.1000695746328117,2026-08-15
Oriole Park at Camden Yards,L,no (CI overlaps baseline),0.082170202415337,2026-08-15
American Family Field,L,no (CI overlaps baseline),0.0477319532787785,2026-08-15
Progressive Field,L,no (CI overlaps baseline),0.0266919993987657,2026-08-15
Citi Field,L,no (CI overlaps baseline),0.0213973731542396,2026-08-15
loanDepot park,L,no (CI overlaps baseline),0.0172388565369356,2026-08-15
Coors Field,L,no (CI overlaps baseline),-0.0031210673543827,2026-08-15
Chase Field,L,no (CI overlaps baseline),-0.0288739148675044,2026-08-15
UNIQLO Field at Dodger Stadium,L,no (CI overlaps baseline),-0.1028960881327991,2026-08-15
Rate Field,L,no (CI overlaps baseline),-0.1579912363727719,2026-08-15
Fenway Park,L,no (CI overlaps baseline),-0.2326309435050715,2026-08-15
Oracle Park,L,no (CI overlaps baseline),-0.2399699460162269,2026-08-15
Target Field,L,no (CI overlaps baseline),-0.28723517714154,2026-08-15
Comerica Park,L,no (CI overlaps baseline),-0.2952195510880004,2026-08-15
