factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant
park,Coors Field,L,0.3475605978218701,0.2006159991619756,0.4924917608235222,yes
park,PNC Park,L,0.23058783648726333,0.0985742245395802,0.36348872429168577,yes
park,Sutter Health Park,L,0.15321519205199952,0.007005378649890259,0.3026481749623704,yes
park,Nationals Park,L,0.12108640306342067,-0.013672417586402585,0.25936019589507153,no (CI overlaps baseline)
park,Progressive Field,L,0.10171334230394091,-0.032242073583993114,0.23961786410277042,no (CI overlaps baseline)
park,Citizens Bank Park,L,0.08153120091235277,-0.055179367174659544,0.22288543339157418,no (CI overlaps baseline)
park,Target Field,L,0.059021596151135114,-0.08103062485507462,0.20458492695635488,no (CI overlaps baseline)
park,Kauffman Stadium,L,0.05225498541393003,-0.09719973962178574,0.20822408996495767,no (CI overlaps baseline)
park,Great American Ball Park,L,0.046564153207199865,-0.10237288594392935,0.20215619216773906,no (CI overlaps baseline)
park,Chase Field,L,0.04210801395066088,-0.12945365009493315,0.22275836619869804,no (CI overlaps baseline)
park,Truist Park,L,0.03516806662929994,-0.09876079553276307,0.17475689320426158,no (CI overlaps baseline)
park,Citi Field,L,0.007768388951166605,-0.12728728369249398,0.14934132325419758,no (CI overlaps baseline)
park,Oracle Park,L,0.007746328078974685,-0.14899177736090408,0.17333168170148183,no (CI overlaps baseline)
park,Comerica Park,L,0.0031908972672571867,-0.13313716662663289,0.1462948859586104,no (CI overlaps baseline)
park,American Family Field,L,-0.011030100947384214,-0.15865508529675298,0.14506571431572435,no (CI overlaps baseline)
park,Tropicana Field,L,-0.012936340118709144,-0.18992234968083355,0.1764639359182918,no (CI overlaps baseline)
park,Busch Stadium,L,-0.0210757154369956,-0.15637035005780897,0.12159460060530147,no (CI overlaps baseline)
park,Fenway Park,L,-0.02507465802551756,-0.17107303539038599,0.12968911026784924,no (CI overlaps baseline)
park,Yankee Stadium,L,-0.03863910190092612,-0.1798799297100675,0.11123577433307874,no (CI overlaps baseline)
park,Wrigley Field,L,-0.04109668593615967,-0.18545348157663,0.11237735276637317,no (CI overlaps baseline)
park,Daikin Park,L,-0.053756548630923495,-0.24412544597244656,0.15360563837754904,no (CI overlaps baseline)
park,T-Mobile Park,L,-0.053849634860528295,-0.18395687138794536,0.08397972631429007,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,L,-0.06920042592640019,-0.20854638988683538,0.07955665865287531,no (CI overlaps baseline)
park,Rogers Centre,L,-0.09706012197596303,-0.2503211241305515,0.068856707907623,no (CI overlaps baseline)
park,loanDepot park,L,-0.10375005549553928,-0.27167003344452223,0.07984491281848172,no (CI overlaps baseline)
park,Globe Life Field,L,-0.1106615666865276,-0.2801621159159926,0.07521096712768771,no (CI overlaps baseline)
park,Angel Stadium,L,-0.12190244045412735,-0.26734279349299894,0.03588753835897451,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,L,-0.16829464382468595,-0.2922632861573923,-0.034041480301543636,yes
park,Rate Field,L,-0.173024108386025,-0.30085175351008153,-0.034069696289143026,yes
park,Petco Park,L,-0.18816485368405422,-0.3293950642618827,-0.03256059549719392,yes
park,Sutter Health Park,R,0.24480366631156558,0.07163152707058873,0.4220582963780952,yes
park,Fenway Park,R,0.19773285551881847,0.043524902132467735,0.35647121032287576,yes
park,Tropicana Field,R,0.153577378274103,-0.049792861576728686,0.3671621766422406,no (CI overlaps baseline)
park,Coors Field,R,0.1479320623117506,-0.020868123728167487,0.32391103609560923,no (CI overlaps baseline)
park,Truist Park,R,0.1431837052519065,-0.018563007984631397,0.3116659182168169,no (CI overlaps baseline)
park,Rogers Centre,R,0.1375997392771504,-0.03156652264116844,0.3143500846986158,no (CI overlaps baseline)
park,loanDepot park,R,0.07788544245145013,-0.12968155562709605,0.3004607373385646,no (CI overlaps baseline)
park,Progressive Field,R,0.07716858386119019,-0.1017031595153518,0.26710715226279524,no (CI overlaps baseline)
park,Kauffman Stadium,R,0.07420288469741187,-0.09028640830373791,0.2481145025986482,no (CI overlaps baseline)
park,Chase Field,R,0.07170499242929607,-0.11171211285815663,0.2670325237350446,no (CI overlaps baseline)
park,Rate Field,R,0.04098513046613972,-0.11994845538752164,0.21213368986017045,no (CI overlaps baseline)
park,Yankee Stadium,R,0.02675159526385995,-0.14660820755488002,0.2126508655282453,no (CI overlaps baseline)
park,Daikin Park,R,-0.0038363792207288805,-0.19118571336699597,0.1998982728676968,no (CI overlaps baseline)
park,Globe Life Field,R,-0.0051594987228068545,-0.19734191682442503,0.20438127630116076,no (CI overlaps baseline)
park,Nationals Park,R,-0.03286522075657061,-0.18418857322246152,0.13001366894425592,no (CI overlaps baseline)
park,UNIQLO Field at Dodger Stadium,R,-0.03664106300001069,-0.1885035459035007,0.1270032437067028,no (CI overlaps baseline)
park,Comerica Park,R,-0.04554860814398054,-0.19210665987584852,0.11226378104961254,no (CI overlaps baseline)
park,Petco Park,R,-0.06623005157001827,-0.2111132022216511,0.09036556586136979,no (CI overlaps baseline)
park,Wrigley Field,R,-0.06738337468560518,-0.19967404441468306,0.07463799271761395,no (CI overlaps baseline)
park,Target Field,R,-0.06894506402179357,-0.21423907525687602,0.088228328264637,no (CI overlaps baseline)
park,Citizens Bank Park,R,-0.0749968102605546,-0.22808611944857493,0.09158485471955458,no (CI overlaps baseline)
park,Oracle Park,R,-0.0767314233921289,-0.24454442076987992,0.10751948351789742,no (CI overlaps baseline)
park,Citi Field,R,-0.08160845691512286,-0.22680296817483347,0.07591032260136554,no (CI overlaps baseline)
park,PNC Park,R,-0.08803884885087154,-0.2275680416782313,0.06305325354714908,no (CI overlaps baseline)
park,Great American Ball Park,R,-0.09375856099031166,-0.22514325378897448,0.04800248610275193,no (CI overlaps baseline)
park,Busch Stadium,R,-0.09637779106820543,-0.2350935476397552,0.05404577684228373,no (CI overlaps baseline)
park,Oriole Park at Camden Yards,R,-0.1023446390489855,-0.24743902438176502,0.055836976715119224,no (CI overlaps baseline)
park,American Family Field,R,-0.11428723611407399,-0.27155308931258604,0.059025649134589964,no (CI overlaps baseline)
park,T-Mobile Park,R,-0.1472575001842652,-0.3009863945959247,0.02330069694389625,no (CI overlaps baseline)
park,Angel Stadium,R,-0.19151750916860977,-0.30979262875112024,-0.062262154776275946,yes
