factor_type,key,stand,factor,factor_ci_low,factor_ci_high,significant,n
weather,temp=60-70 wind=Cross speed=5-10mph,L,0.09269602734271154,-0.06815572829759065,0.2535477829830135,no (CI overlaps baseline),304
weather,temp=90+ wind=Cross speed=5-10mph,L,0.08456573309925597,-0.09687983583798032,0.26601130203649226,no (CI overlaps baseline),117
weather,temp=60-70 wind=Varies speed=5-10mph,L,0.08404065863577914,-0.14642254593318704,0.31450386320474566,no (CI overlaps baseline),25
weather,temp=60-70 wind=Cross speed=10-15mph,L,0.08254103670493751,-0.08457431066433119,0.24965638407420654,no (CI overlaps baseline),80
weather,temp=60-70 wind=Calm speed=5-10mph,L,0.0821002247306748,-0.12074252598494506,0.2849429754462949,no (CI overlaps baseline),7
weather,temp=60-70 wind=Cross speed=15+mph,L,0.08180937948501588,-0.11946608911871748,0.28308484808874934,no (CI overlaps baseline),13
weather,temp=60-70 wind=Out speed=5-10mph,L,0.07939287012578533,-0.08035262176683622,0.23913836201840688,no (CI overlaps baseline),294
weather,temp=60-70 wind=Cross speed=0-5mph,L,0.0756033851770328,-0.09882440812495707,0.25003117847902256,no (CI overlaps baseline),69
weather,temp=90+ wind=Cross speed=10-15mph,L,0.07443506313998483,-0.11278222686290218,0.2616523531428716,no (CI overlaps baseline),45
weather,temp=60-70 wind=Varies speed=10-15mph,L,0.0739115856559982,-0.15685706433404956,0.30468023564604607,no (CI overlaps baseline),67
weather,temp=70-80 wind=Cross speed=5-10mph,L,0.07386095811687743,-0.07443609996455791,0.22215801619831277,no (CI overlaps baseline),542
weather,temp=90+ wind=Cross speed=15+mph,L,0.07370519511396845,-0.1459587889570254,0.2933691791849624,no (CI overlaps baseline),6
weather,temp=60-70 wind=Varies speed=15+mph,L,0.0731818350684863,-0.18154969515706854,0.3279133652940409,no (CI overlaps baseline),27
weather,temp=60-70 wind=Calm speed=10-15mph,L,0.07197708112754841,-0.1363525185717981,0.280306680826895,no (CI overlaps baseline),7
weather,temp=90+ wind=Out speed=5-10mph,L,0.07129463033871519,-0.10696342156757477,0.24955268224500515,no (CI overlaps baseline),145
weather,temp=60-70 wind=Out speed=10-15mph,L,0.06927807216379978,-0.0953493116126457,0.23390545594024514,no (CI overlaps baseline),218
weather,temp=60-70 wind=Out speed=15+mph,L,0.06854937109018211,-0.12796430256076807,0.2650630447411322,no (CI overlaps baseline),65
weather,temp=90+ wind=Cross speed=0-5mph,L,0.06751457645857761,-0.12437917983970292,0.25940833275685815,no (CI overlaps baseline),49
weather,temp=90+ wind=Varies speed=10-15mph,L,0.06582703037031212,-0.1795269418636768,0.31118100260430115,no (CI overlaps baseline),6
weather,temp=70-80 wind=Varies speed=5-10mph,L,0.06525446687518133,-0.1595626850283285,0.2900716187786909,no (CI overlaps baseline),23
weather,temp=60-70 wind=Calm speed=0-5mph,L,0.06506190237980403,-0.12793861685929786,0.25806242161890625,no (CI overlaps baseline),256
weather,temp=70-80 wind=Cross speed=10-15mph,L,0.06376347636923252,-0.09146717715453112,0.21899412989299583,no (CI overlaps baseline),246
weather,temp=70-80 wind=Calm speed=5-10mph,L,0.0633252107436586,-0.13721329760845646,0.2638637190957738,no (CI overlaps baseline),6
weather,temp=70-80 wind=Cross speed=15+mph,L,0.063036047841317,-0.1293669462881053,0.2554390419707391,no (CI overlaps baseline),29
weather,temp=60-70 wind=Out speed=0-5mph,L,0.062368777062427716,-0.11252657881418182,0.23726413293903725,no (CI overlaps baseline),40
weather,temp=90+ wind=Out speed=10-15mph,L,0.06120530202555652,-0.12166060125423994,0.2440712053053531,no (CI overlaps baseline),107
weather,temp=70-80 wind=Out speed=5-10mph,L,0.060633586355554714,-0.08656064547498876,0.2078278181860982,no (CI overlaps baseline),645
weather,temp=90+ wind=Out speed=15+mph,L,0.060478472479286616,-0.15302403033470213,0.27398097529327536,no (CI overlaps baseline),33
weather,temp=90+ wind=Varies speed=0-5mph,L,0.058925342499198896,-0.19187951203841047,0.30973019703680826,no (CI overlaps baseline),12
weather,temp=70-80 wind=Cross speed=0-5mph,L,0.05686638239771935,-0.10540159618200218,0.21913436097744055,no (CI overlaps baseline),147
weather,temp=70-80 wind=Varies speed=10-15mph,L,0.055184629337797775,-0.17004255218300224,0.280411810858598,no (CI overlaps baseline),20
weather,temp=90+ wind=Out speed=0-5mph,L,0.05431394998910832,-0.1359490838266919,0.24457698380490878,no (CI overlaps baseline),50
weather,temp=70-80 wind=Calm speed=10-15mph,L,0.05326168757743077,-0.15286522216146603,0.25938859731632746,no (CI overlaps baseline),7
weather,temp=70-80 wind=Out speed=10-15mph,L,0.05057894469467539,-0.10207602903240198,0.20323391842175287,no (CI overlaps baseline),339
