key,stand,significant,factor,date
temp=60-70 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0947539159875461,2026-08-22
temp=60-70 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0890467795103531,2026-08-22
temp=60-70 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0875417624912036,2026-08-22
temp=60-70 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0847236429382485,2026-08-22
temp=90+ wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0830848647463324,2026-08-22
temp=60-70 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0828307753503614,2026-08-22
temp=60-70 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0790331652775888,2026-08-22
temp=60-70 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0775326032914722,2026-08-22
temp=90+ wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.077397171057679,2026-08-22
temp=90+ wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0758973533168745,2026-08-22
temp=60-70 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0738329771569685,2026-08-22
temp=60-70 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0737996306961517,2026-08-22
temp=90+ wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0730890502063923,2026-08-22
temp=60-70 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0728357284282472,2026-08-22
temp=90+ wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0712028352997973,2026-08-22
temp=60-70 wind=Varies speed=15+mph,L,no (CI overlaps baseline),0.0681280407776729,2026-08-22
temp=90+ wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0674187157806662,2026-08-22
temp=60-70 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.0666657986062178,2026-08-22
temp=60-70 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0666325267030467,2026-08-22
temp=90+ wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0659235371356836,2026-08-22
temp=70-80 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0647515892703869,2026-08-22
temp=60-70 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0619848557998838,2026-08-22
temp=90+ wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0612437057667891,2026-08-22
temp=70-80 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0590962313053851,2026-08-22
temp=70-80 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0576050529155272,2026-08-22
temp=90+ wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0550634623350649,2026-08-22
temp=70-80 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0548130527166019,2026-08-22
temp=70-80 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0529378802262057,2026-08-22
temp=90+ wind=Varies speed=0-5mph,L,no (CI overlaps baseline),0.0504002316094649,2026-08-22
temp=70-80 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0491761380121893,2026-08-22
temp=70-80 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0476898834853132,2026-08-22
temp=70-80 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0440258586472936,2026-08-22
temp=70-80 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0439928351890352,2026-08-22
temp=70-80 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0430382858345326,2026-08-22
temp=70-80 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.0369289703830979,2026-08-22
temp=70-80 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0368960288482631,2026-08-22
temp=70-80 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0322948751536535,2026-08-22
temp=70-80 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),0.0322619881546686,2026-08-22
temp=80-90 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.0271144126918359,2026-08-22
temp=80-90 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0215322902616701,2026-08-22
temp=80-90 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0200606504109506,2026-08-22
temp=80-90 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.0173054890554971,2026-08-22
temp=80-90 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0154552456923926,2026-08-22
temp=80-90 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0117439669938583,2026-08-22
temp=80-90 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.0102778173529458,2026-08-22
temp=80-90 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.0066637602585697,2026-08-22
temp=80-90 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0066311897656941,2026-08-22
temp=80-90 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0056897536246975,2026-08-22
temp=80-90 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),-0.0003671912929043,2026-08-22
temp=80-90 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),-0.0049033809308911,2026-08-22
temp=80-90 wind=Varies speed=0-5mph,L,no (CI overlaps baseline),-0.0049358003377595,2026-08-22
temp=<60 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),-0.042275869424709,2026-08-22
temp=60-70 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0428070542398553,2026-08-22
temp=<60 wind=Cross speed=15+mph,L,no (CI overlaps baseline),-0.0476988102835695,2026-08-22
temp=60-70 wind=In speed=15+mph,L,no (CI overlaps baseline),-0.0482286557126186,2026-08-22
