date,batter,game_pk,power_score,park_factor,weather_adj,score,situational_boost,hit_hr,hr_count,rank,resolved
2026-05-24,502671,823544,0.81,0.0,0.0,0.8097,-0.0,0,0,7,True
2026-05-21,502671,823545,0.832,0.0,0.0,0.8316,-0.0,0,0,3,True
2026-05-22,502671,823546,0.789,0.0,0.0,0.789,0.0001,0,0,10,True
2026-05-20,502671,823547,0.932,0.0,0.0,0.9324,-0.0,0,0,5,True
2026-05-16,502671,823627,0.769,0.0,0.0,0.7692,-0.0,0,0,15,True
2026-05-27,502671,824104,0.563,0.0,0.0,0.5629,0.0001,0,0,34,True
2026-05-26,502671,824106,0.832,0.0,0.0,0.8316,-0.0,0,0,10,True
2026-05-25,502671,824107,0.855,0.0,0.0,0.8547,-0.0,0,0,9,True
2026-05-16,514888,824193,0.0,0.0,0.0,0.0,0.0,1,1,166,True
2026-05-20,518692,823299,0.462,0.0,0.0,0.4615,-0.0001,0,0,51,True
2026-05-19,518692,823302,0.148,0.0,0.0,0.1479,-0.0002,1,2,148,True
2026-05-23,518692,823787,0.513,0.0,0.0,0.5128,-0.0,0,0,39,True
2026-05-27,518692,823947,0.563,0.0,0.0,0.5629,0.0001,1,1,35,True
2026-05-25,518692,823948,0.577,0.0,0.0,0.5769,-0.0,0,0,28,True
2026-05-26,518692,823949,0.563,0.0,0.0,0.5629,0.0001,0,0,34,True
2026-05-17,518692,824034,0.14,0.0,0.0,0.1399,0.0003,0,0,145,True
2026-05-16,518692,824038,0.14,0.0,0.0,0.1399,0.0003,0,0,152,True
2026-05-17,521692,823058,0.27,0.0,0.0,0.2699,-0.0,1,1,104,True
2026-05-16,521692,823060,0.398,0.0,0.0,0.3979,0.0001,0,0,71,True
2026-05-15,521692,823061,0.42,0.0,0.0,0.4196,0.0,0,0,73,True
2026-05-27,521692,824104,0.581,0.0,0.0,0.5806,0.0001,0,0,30,True
2026-05-26,521692,824106,0.581,0.0,0.0,0.5806,0.0001,0,0,31,True
2026-05-25,521692,824107,0.42,0.0,0.0,0.4196,0.0,1,1,54,True
2026-05-24,521692,824108,0.427,0.0,0.0,0.4274,0.0001,0,0,62,True
2026-05-23,521692,824109,0.452,0.0,0.0,0.4525,0.0,0,0,53,True
2026-05-22,521692,824110,0.462,0.0,0.0,0.4615,-0.0001,0,0,57,True
