game_pk,temp,condition,wind,venue
825051,76.0,Roof Closed,"0 mph, None",Chase Field
824727,92.0,Clear,"5 mph, L To R",Fenway Park
824566,87.0,Partly Cloudy,"8 mph, R To L",Rate Field
824081,85.0,Clear,"5 mph, R To L",Kauffman Stadium
823836,72.0,Roof Closed,"0 mph, None",loanDepot park
823750,83.0,Partly Cloudy,"6 mph, In From RF",American Family Field
823515,76.0,Cloudy,"2 mph, Out To RF",Yankee Stadium
823428,78.0,Partly Cloudy,"13 mph, Out To CF",Citizens Bank Park
823349,80.0,Partly Cloudy,"7 mph, Out To LF",PNC Park
823266,77.0,Clear,"8 mph, L To R",Petco Park
823191,60.0,Cloudy,"14 mph, Varies",Oracle Park
823103,81.0,Clear,"6 mph, L To R",T-Mobile Park
823024,85.0,Cloudy,"7 mph, R To L",Busch Stadium
822863,74.0,Roof Closed,"0 mph, None",Globe Life Field
822699,86.0,Cloudy,"7 mph, Out To RF",Nationals Park
825053,76.0,Roof Closed,"0 mph, None",Chase Field
824885,87.0,Cloudy,"6 mph, L To R",Truist Park
824804,89.0,Partly Cloudy,"5 mph, Out To CF",Oriole Park at Camden Yards
824729,89.0,Partly Cloudy,"7 mph, Out To CF",Fenway Park
824664,76.0,Cloudy,"5 mph, Out To LF",Wrigley Field
824481,84.0,Partly Cloudy,"5 mph, R To L",Great American Ball Park
824401,84.0,Partly Cloudy,"7 mph, L To R",Progressive Field
824080,82.0,Cloudy,"5 mph, R To L",Kauffman Stadium
823754,76.0,Cloudy,"7 mph, In From LF",American Family Field
823430,90.0,Partly Cloudy,"9 mph, Out To CF",Citizens Bank Park
823105,77.0,Sunny,"6 mph, L To R",T-Mobile Park
825052,76.0,Roof Closed,"0 mph, None",Chase Field
824889,76.0,Cloudy,"7 mph, Out To RF",Truist Park
824806,83.0,Partly Cloudy,"7 mph, R To L",Oriole Park at Camden Yards
824728,84.0,Partly Cloudy,"4 mph, Out To CF",Fenway Park
824646,80.0,Overcast,"9 mph, Out To CF",Wrigley Field
824482,85.0,Partly Cloudy,"3 mph, R To L",Great American Ball Park
824402,81.0,Partly Cloudy,"5 mph, In From RF",Progressive Field
824322,69.0,Partly Cloudy,"10 mph, In From CF",Coors Field
824158,73.0,Roof Closed,"0 mph, None",Daikin Park
824082,81.0,Cloudy,"4 mph, R To L",Kauffman Stadium
823753,75.0,Cloudy,"6 mph, In From CF",American Family Field
823516,77.0,Cloudy,"8 mph, R To L",Yankee Stadium
823429,81.0,Overcast,"7 mph, Out To LF",Citizens Bank Park
823106,83.0,Clear,"6 mph, In From LF",T-Mobile Park
822866,74.0,Roof Closed,"0 mph, None",Globe Life Field
825054,76.0,Roof Closed,"0 mph, None",Chase Field
824888,85.0,Partly Cloudy,"3 mph, L To R",Truist Park
824805,88.0,Partly Cloudy,"7 mph, In From CF",Oriole Park at Camden Yards
824731,82.0,Clear,"2 mph, Out To CF",Fenway Park
824645,83.0,Partly Cloudy,"8 mph, Out To CF",Wrigley Field
824484,86.0,Clear,"3 mph, L To R",Great American Ball Park
824403,78.0,Clear,"6 mph, In From CF",Progressive Field
824321,76.0,Partly Cloudy,"9 mph, In From LF",Coors Field
824161,73.0,Roof Closed,"0 mph, None",Daikin Park
824084,91.0,Overcast,"6 mph, R To L",Kauffman Stadium
823756,82.0,Cloudy,"8 mph, In From RF",American Family Field
823517,80.0,Partly Cloudy,"6 mph, R To L",Yankee Stadium
823432,84.0,Partly Cloudy,"4 mph, Out To CF",Citizens Bank Park
823108,77.0,Cloudy,"9 mph, L To R",T-Mobile Park
822865,74.0,Roof Closed,"0 mph, None",Globe Life Field
825095,78.0,Roof Closed,"0 mph, None",Chase Field
824647,76.0,Clear,"10 mph, In From RF",Wrigley Field
824324,89.0,Cloudy,"6 mph, R To L",Coors Field
824160,73.0,Roof Closed,"0 mph, None",Daikin Park
823757,76.0,Clear,"10 mph, In From RF",American Family Field
823520,80.0,Clear,"13 mph, L To R",Yankee Stadium
823431,89.0,Partly Cloudy,"7 mph, L To R",Citizens Bank Park
822867,74.0,Roof Closed,"0 mph, None",Globe Life Field
824971,95.0,Sunny,"3 mph, L To R",Sutter Health Park
824891,86.0,Partly Cloudy,"8 mph, R To L",Truist Park
824807,82.0,Cloudy,"11 mph, R To L",Oriole Park at Camden Yards
824648,71.0,Overcast,"13 mph, In From LF",Wrigley Field
824483,74.0,Partly Cloudy,"5 mph, In From RF",Great American Ball Park
824404,81.0,Overcast,"5 mph, In From RF",Progressive Field
824323,99.0,Sunny,"11 mph, R To L",Coors Field
824163,73.0,Roof Closed,"0 mph, None",Daikin Park
823996,87.0,Sunny,"7 mph, R To L",Angel Stadium
823919,87.0,Sunny,"2 mph, Calm",UNIQLO Field at Dodger Stadium
823592,82.0,Partly Cloudy,"13 mph, Out To LF",Citi Field
823270,82.0,Sunny,"9 mph, L To R",Petco Park
823107,67.0,Cloudy,"4 mph, L To R",T-Mobile Park
822943,72.0,Dome,"0 mph, None",Tropicana Field
822783,68.0,Roof Closed,"0 mph, None",Rogers Centre
824972,98.0,Clear,"6 mph, Out To RF",Sutter Health Park
824890,88.0,Clear,"8 mph, L To R",Truist Park
824808,82.0,Cloudy,"13 mph, Out To LF",Oriole Park at Camden Yards
824649,71.0,Overcast,"21 mph, In From CF",Wrigley Field
824485,76.0,Overcast,"10 mph, In From CF",Great American Ball Park
824405,80.0,Partly Cloudy,"6 mph, R To L",Progressive Field
824326,94.0,Clear,"4 mph, R To L",Coors Field
824162,73.0,Roof Closed,"0 mph, None",Daikin Park
824000,84.0,Clear,"8 mph, Out To CF",Angel Stadium
823920,85.0,Clear,"7 mph, Out To CF",UNIQLO Field at Dodger Stadium
823594,87.0,Sunny,"4 mph, Out To LF",Citi Field
823269,79.0,Clear,"7 mph, L To R",Petco Park
823109,73.0,Partly Cloudy,"8 mph, Out To LF",T-Mobile Park
822944,72.0,Dome,"0 mph, None",Tropicana Field
822781,77.0,Partly Cloudy,"6 mph, R To L",Rogers Centre
824975,95.0,Clear,"6 mph, Out To CF",Sutter Health Park
824892,89.0,Clear,"3 mph, R To L",Truist Park
824809,82.0,Partly Cloudy,"6 mph, R To L",Oriole Park at Camden Yards
824651,77.0,Cloudy,"11 mph, R To L",Wrigley Field
824486,84.0,Clear,"1 mph, Calm",Great American Ball Park
824407,79.0,Partly Cloudy,"2 mph, In From CF",Progressive Field
824325,85.0,Partly Cloudy,"15 mph, L To R",Coors Field
824164,73.0,Roof Closed,"0 mph, None",Daikin Park
823999,84.0,Clear,"8 mph, Out To CF",Angel Stadium
823922,78.0,Clear,"4 mph, Out To CF",UNIQLO Field at Dodger Stadium
823593,79.0,Partly Cloudy,"7 mph, Out To LF",Citi Field
823272,75.0,Clear,"7 mph, L To R",Petco Park
823111,80.0,Clear,"5 mph, In From LF",T-Mobile Park
822945,72.0,Dome,"0 mph, None",Tropicana Field
822782,77.0,Clear,"2 mph, R To L",Rogers Centre
824974,90.0,Clear,"10 mph, Out To LF",Sutter Health Park
824894,87.0,Clear,"8 mph, Out To LF",Truist Park
824568,84.0,Partly Cloudy,"4 mph, L To R",Rate Field
824488,84.0,Partly Cloudy,"4 mph, L To R",Great American Ball Park
823921,78.0,Clear,"3 mph, Out To RF",UNIQLO Field at Dodger Stadium
823674,84.0,Partly Cloudy,"10 mph, Out To LF",Target Field
823595,72.0,Cloudy,"2 mph, R To L",Citi Field
823271,75.0,Clear,"7 mph, L To R",Petco Park
823023,85.0,Partly Cloudy,"4 mph, In From CF",Busch Stadium
822946,72.0,Dome,"0 mph, None",Tropicana Field
824973,91.0,Clear,"10 mph, Out To LF",Sutter Health Park
824567,75.0,Clear,"9 mph, Out To RF",Rate Field
824487,82.0,Clear,"8 mph, Out To RF",Great American Ball Park
824242,79.0,Sunny,"11 mph, Out To RF",Comerica Park
824002,81.0,Partly Cloudy,"8 mph, R To L",Angel Stadium
823924,77.0,Clear,"6 mph, Out To RF",UNIQLO Field at Dodger Stadium
823837,72.0,Roof Closed,"0 mph, None",loanDepot park
823677,90.0,Partly Cloudy,"8 mph, Out To LF",Target Field
823598,77.0,Cloudy,"6 mph, Out To RF",Citi Field
823596,78.0,Cloudy,"7 mph, L To R",Citi Field
823351,73.0,Cloudy,"10 mph, Out To RF",PNC Park
823273,77.0,Sunny,"9 mph, L To R",Petco Park
823192,67.0,Sunny,"9 mph, Out To CF",Oracle Park
823022,84.0,Partly Cloudy,"7 mph, In From RF",Busch Stadium
822947,72.0,Dome,"0 mph, None",Tropicana Field
822702,81.0,Partly Cloudy,"4 mph, In From LF",Nationals Park
824976,92.0,Clear,"6 mph, Out To CF",Sutter Health Park
824569,73.0,Partly Cloudy,"15 mph, Out To RF",Rate Field
824490,84.0,Partly Cloudy,"10 mph, Varies",Great American Ball Park
824489,84.0,Partly Cloudy,"9 mph, Out To RF",Great American Ball Park
824243,79.0,Partly Cloudy,"7 mph, Out To RF",Comerica Park
824003,81.0,Clear,"6 mph, R To L",Angel Stadium
823923,77.0,Clear,"6 mph, Out To CF",UNIQLO Field at Dodger Stadium
823838,72.0,Roof Closed,"0 mph, None",loanDepot park
823676,89.0,Partly Cloudy,"6 mph, Out To RF",Target Field
823350,79.0,Partly Cloudy,"9 mph, Out To CF",PNC Park
823275,74.0,Clear,"7 mph, L To R",Petco Park
823193,65.0,Clear,"11 mph, Varies",Oracle Park
823026,87.0,Cloudy,"6 mph, In From LF",Busch Stadium
822949,72.0,Dome,"0 mph, None",Tropicana Field
822703,69.0,Overcast,"5 mph, Out To LF",Nationals Park
824977,88.0,Clear,"8 mph, R To L",Sutter Health Park
824570,74.0,Clear,"12 mph, R To L",Rate Field
824245,84.0,Partly Cloudy,"6 mph, Out To LF",Comerica Park
824001,82.0,Clear,"9 mph, Out To RF",Angel Stadium
823839,72.0,Roof Closed,"0 mph, None",loanDepot park
823597,79.0,Cloudy,"9 mph, Out To LF",Citi Field
823353,85.0,Partly Cloudy,"8 mph, Out To LF",PNC Park
823195,63.0,Clear,"13 mph, Varies",Oracle Park
823025,90.0,Partly Cloudy,"11 mph, Out To CF",Busch Stadium
822868,74.0,Roof Closed,"0 mph, None",Globe Life Field
822705,91.0,Partly Cloudy,"2 mph, Out To LF",Nationals Park
824810,80.0,Partly Cloudy,"5 mph, L To R",Oriole Park at Camden Yards
824730,75.0,Sunny,"9 mph, In From RF",Fenway Park
824572,90.0,Partly Cloudy,"4 mph, In From RF",Rate Field
824246,82.0,Partly Cloudy,"5 mph, R To L",Comerica Park
823840,72.0,Roof Closed,"0 mph, None",loanDepot park
823755,86.0,Cloudy,"6 mph, In From LF",American Family Field
823678,92.0,Partly Cloudy,"7 mph, Out To LF",Target Field
823599,79.0,Sunny,"5 mph, In From CF",Citi Field
823433,81.0,Partly Cloudy,"7 mph, Out To LF",Citizens Bank Park
823354,79.0,Partly Cloudy,"3 mph, Out To LF",PNC Park
823194,68.0,Partly Cloudy,"12 mph, Out To CF",Oracle Park
823028,94.0,Partly Cloudy,"5 mph, Out To RF",Busch Stadium
822950,72.0,Dome,"0 mph, None",Tropicana Field
822870,74.0,Roof Closed,"0 mph, None",Globe Life Field
822706,83.0,Cloudy,"5 mph, Out To RF",Nationals Park
824811,80.0,Clear,"3 mph, In From RF",Oriole Park at Camden Yards
824734,78.0,Sunny,"8 mph, In From RF",Fenway Park
824571,78.0,Cloudy,"9 mph, R To L",Rate Field
824244,78.0,Partly Cloudy,"5 mph, R To L",Comerica Park
823841,72.0,Roof Closed,"0 mph, None",loanDepot park
823758,79.0,Cloudy,"5 mph, R To L",American Family Field
823679,93.0,Clear,"5 mph, Out To RF",Target Field
823600,77.0,Clear,"12 mph, R To L",Citi Field
823435,81.0,Clear,"9 mph, R To L",Citizens Bank Park
823355,79.0,Partly Cloudy,"8 mph, Out To LF",PNC Park
823197,68.0,Sunny,"13 mph, Varies",Oracle Park
823027,90.0,Clear,"2 mph, In From RF",Busch Stadium
822948,72.0,Dome,"0 mph, None",Tropicana Field
822869,74.0,Roof Closed,"0 mph, None",Globe Life Field
822704,82.0,Partly Cloudy,"2 mph, In From RF",Nationals Park
824812,77.0,Partly Cloudy,"8 mph, Out To LF",Oriole Park at Camden Yards
824733,76.0,Clear,"3 mph, R To L",Fenway Park
824573,76.0,Partly Cloudy,"8 mph, In From RF",Rate Field
824248,78.0,Partly Cloudy,"8 mph, In From CF",Comerica Park
823843,72.0,Roof Closed,"0 mph, None",loanDepot park
823759,79.0,Partly Cloudy,"9 mph, In From CF",American Family Field
823680,79.0,Cloudy,"12 mph, Out To LF",Target Field
823601,77.0,Cloudy,"7 mph, Out To LF",Citi Field
823434,80.0,Partly Cloudy,"9 mph, Out To CF",Citizens Bank Park
823352,78.0,Cloudy,"7 mph, In From LF",PNC Park
823196,64.0,Clear,"14 mph, Varies",Oracle Park
823031,74.0,Cloudy,"7 mph, R To L",Busch Stadium
822952,72.0,Dome,"0 mph, None",Tropicana Field
822872,74.0,Roof Closed,"0 mph, None",Globe Life Field
822707,79.0,Cloudy,"7 mph, In From RF",Nationals Park
824893,82.0,Cloudy,"6 mph, Out To LF",Truist Park
824406,72.0,Sunny,"6 mph, In From CF",Progressive Field
824247,76.0,Clear,"7 mph, In From LF",Comerica Park
823042,78.0,Partly Cloudy,"4 mph, In From CF",Busch Stadium
822785,68.0,Sunny,"13 mph, Out To CF",Rogers Centre
