key,stand,significant,factor,date
temp=80-90 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.3350740251727346,2026-08-15
temp=80-90 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.3244743209783995,2026-08-15
temp=80-90 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.3053665123035696,2026-08-15
temp=80-90 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.2699718634254737,2026-08-15
temp=80-90 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.2516055398667931,2026-08-15
temp=70-80 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.2234098828027704,2026-08-15
temp=70-80 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.2136477111448225,2026-08-15
temp=70-80 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.1960516836823165,2026-08-15
temp=60-70 wind=Calm speed=5-10mph,L,no (CI overlaps baseline),0.1817831319200873,2026-08-15
temp=80-90 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.1742888016093522,2026-08-15
temp=70-80 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.172844118412172,2026-08-15
temp=60-70 wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.1723354613950891,2026-08-15
temp=80-90 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.1648978844109045,2026-08-15
temp=70-80 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.1634641461810224,2026-08-15
temp=80-90 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.1610930344666652,2026-08-15
temp=60-70 wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.1553070289326479,2026-08-15
temp=90+ wind=Out speed=5-10mph,L,no (CI overlaps baseline),0.1482196328819633,2026-08-15
temp=80-90 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.1479718719986611,2026-08-15
temp=70-80 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.1465578854470595,2026-08-15
temp=80-90 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.1442194448211002,2026-08-15
temp=60-70 wind=Calm speed=10-15mph,L,no (CI overlaps baseline),0.1328494784923006,2026-08-15
temp=90+ wind=Cross speed=5-10mph,L,no (CI overlaps baseline),0.1315235500740186,2026-08-15
temp=80-90 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.1292787034372537,2026-08-15
temp=60-70 wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.1237730999539392,2026-08-15
temp=60-70 wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.1074146910876094,2026-08-15
temp=90+ wind=Out speed=10-15mph,L,no (CI overlaps baseline),0.1006064719006625,2026-08-15
temp=80-90 wind=In speed=5-10mph,L,no (CI overlaps baseline),0.0911708527688108,2026-08-15
temp=90+ wind=Cross speed=10-15mph,L,no (CI overlaps baseline),0.0845687704785997,2026-08-15
temp=80-90 wind=Varies speed=10-15mph,L,no (CI overlaps baseline),0.0824125218111826,2026-08-15
temp=70-80 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0754134189666879,2026-08-15
temp=70-80 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0667750322999629,2026-08-15
temp=70-80 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0632752550764381,2026-08-15
temp=70-80 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.0512069226335711,2026-08-15
temp=70-80 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0477558079215072,2026-08-15
temp=80-90 wind=In speed=10-15mph,L,no (CI overlaps baseline),0.0458114434170262,2026-08-15
temp=60-70 wind=Calm speed=0-5mph,L,no (CI overlaps baseline),0.0385850005661347,2026-08-15
temp=70-80 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),0.0340157539540904,2026-08-15
temp=60-70 wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0302287004507686,2026-08-15
temp=60-70 wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0268432716936428,2026-08-15
temp=60-70 wind=Cross speed=0-5mph,L,no (CI overlaps baseline),0.015169528370027,2026-08-15
temp=60-70 wind=Cross speed=15+mph,L,no (CI overlaps baseline),0.0118313318621932,2026-08-15
temp=90+ wind=Out speed=0-5mph,L,no (CI overlaps baseline),0.0089025836654892,2026-08-15
temp=90+ wind=Out speed=15+mph,L,no (CI overlaps baseline),0.0055840627155177,2026-08-15
temp=70-80 wind=In speed=5-10mph,L,no (CI overlaps baseline),-0.0010225630999232,2026-08-15
temp=60-70 wind=Varies speed=5-10mph,L,no (CI overlaps baseline),-0.0014588049650173,2026-08-15
